PRODUCT_CODE,DEVICE_NAME
NSR,"Prosthesis, Orthodontic"
NXJ,"Denture, Cosmetic Only"
OBR,"Mouthguard, Over-The-Counter"
OCO,"Mouthguard, Migraine/Tension Headache"
OLR,Oral Wound Dressing
OLS,Oral Wound Dressing W/Drug And/Or Biologic
PKJ,"Crown And Bridge Material, Resin Based"
OGP,Cricothyrotomy Kit
OGV,Tracheostomy Cleaning Tray
OGW,Tracheostomy Kit
MYB,"Pillow, Cervical (For Mild Sleep Apnea)"
NEA,"Cement, Ear, Nose And Throat"
OGT,Oral Irrigation Kit
BST,"Curette, Biopsy, Bronchoscope (Non-Rigid)"
BTG,"Brush, Biopsy, Bronchoscope (Non-Rigid)"
BWH,"Forceps, Biopsy, Bronchoscope (Non-Rigid)"
EMX,"Balloon, Epistaxis"
ENW,"Catheter, Nasopharyngeal"
ENZ,"Telescope, Laryngeal-Bronchial"
EOB,Nasopharyngoscope (Flexible Or Rigid)
EOQ,Bronchoscope (Flexible Or Rigid)
EOX,Esophagoscope (Flexible Or Rigid)
EPF,"Hearing Aid, Group And Auditory Trainer"
EPN,"Pump, Nebulizer, Manual"
EPP,"Splint, Nasal"
EQH,"Source, Carrier, Fiberoptic Light"
EQJ,"Bur, Ear, Nose And Throat"
EQL,Laryngostroboscope
EQN,"Laryngoscope, Nasopharyngoscope"
ERA,Otoscope
ERL,"Drill, Surgical, Ent (Electric Or Pneumatic) Including Handpiece"
ESD,"Hearing Aid, Air-Conduction, Prescription"
ESE,"Larynx, Artificial (Battery-Powered)"
ESH,"Polymer, Ent Synthetic-Pife, Silicon Elastomer, Polyethylene, Polyurethane"
ESX,"Tack, Sacculotomy (Cody Tack)"
ESZ,"Tube, Shunt, Endolymphatic"
ETA,"Replacement, Ossicular Prosthesis, Total"
ETB,"Prosthesis, Partial Ossicular Replacement"
ETC,"Mold, Middle-Ear"
ETD,"Tube, Tympanostomy"
ETF,"Unit, Examining/Treatment, Ent"
ETK,"Tube, Toynbee Diagnostic"
ETM,"Gustometer, Sterile"
ETN,"Stimulator, Nerve"
ETP,"Stimulator, Caloric-Water"
ETR,"Adaptor, Short Increment Sensitivity Index (Sisi)"
ETS,"Generator, Electronic Noise (For Audiometric Testing)"
ETT,"Cushion, Earphone (For Audiometric Testing)"
ETW,"Calibrator, Hearing Aid / Earphone And Analysis Systems"
ETY,"Tester, Auditory Impedance"
EWA,"Set, Audiometer Calibration"
EWC,"Chamber, Acoustic (For Audiometric Testing)"
EWG,"Laser, Ent Microsurgical Carbon-Dioxide"
EWL,"Prosthesis, Laryngeal (Taub)"
EWO,Audiometer
EWQ,"Saw, Surgical, Ent (Electric Or Pneumatic)"
EWT,"Device, Antichoke, Suction"
EWW,"Device, Antichoke, Tongs"
EWY,"Mediastinoscope, Surgical"
FWN,"Prosthesis, Larynx (Stents And Keels)"
JAZ,"Prosthesis, Facial, Mandibular Implant"
JEI,"Claw, Foreign Body, Bronchoscope (Non-Rigid)"
JEJ,"Tubing, Instrumentation, Bronchoscope (Brush Sheath A/O Aspirating)"
JEK,"Forceps, Biopsy, Bronchoscope (Rigid)"
JEL,"Curette, Biopsy, Bronchoscope (Rigid)"
JOF,"Polymer, Ent Synthetic, Porous Polyethylene"
JPW,"Pump, Nebulizer, Electrically Powered"
JXS,"Block, Cutting, Ent, Sterile"
JXT,"Crimper, Wire, Ent, Sterile"
JXW,"Die, Wire Bending, Ent, Sterile"
JXX,"Forceps, Wire Closure, Ent, Sterile"
JXY,"Jig, Piston Cutting, Ent, Sterile"
JXZ,"Punch, Gelfoam, Sterile"
JYA,"Scissors, Wire Cutting, Ent, Sterile"
JYB,"Vise, Ossicular Finger, Sterile"
JYE,"Chisel, Middle-Ear"
JYF,"Clamp, Ossicle Holding"
JYG,"Curette, Ear"
JYH,"Excavator, Ear"
JYI,"Gauge, Mastoid"
JYJ,"Gauge, Measuring"
JYL,"Hook, Microsurgical Ear"
JYM,"Inserter, Myringotomy Tube"
JYN,"Inserter, Sacculotomy Tack"
JYO,"Knife, Ear"
JYP,"Knife, Myringotomy"
JYQ,"Loop, Wire"
JYR,"Nipper, Malleus"
JYS,"Perforator, Ear-Lobe"
JYT,"Pick, Microsurgical Ear"
JYW,"Press, Vein"
JYX,"Punch, Attic"
JYY,"Rasp, Ear"
JYZ,"Rod, Measuring Ear"
JZA,"Rongeur, Mastoid"
JZB,"Scissors, Ear"
JZC,"Searcher, Mastoid"
JZD,"Snare, Ear"
JZE,"Spoon, Ear"
JZF,"Tube, Ear Suction"
JZY,"Knife, Laryngeal"
JZZ,"Saw, Laryngeal"
KAA,"Set, Laryngeal Injection"
KAB,"Trocar, Laryngeal"
KAC,"Tube, Laryngectomy"
KAD,"Elevator, Ent"
KAE,"Forceps, Ent"
KAH,"Microrule, Ent"
KAI,"Mirror, Ent"
KAJ,"Mobilizer, Ent"
KAK,"Probe, Ent"
KAL,"Retractor, Ent"
KAO,"Curette, Ethmoid"
KAP,"Curette, Nasal"
KAQ,"Gouge, Nasal, Ent"
KAR,"Irrigator, Sinus"
KAS,"Knife, Nasal"
KAT,"Perforator, Antrum"
KAW,"Punch, Antrum"
KAX,"Punch, Ethmoid"
KAY,"Punch, Nasal"
KAZ,"Rasp, Frontal-Sinus"
KBA,"Rasp, Nasal"
KBB,"Rongeur, Nasal"
KBC,"Saw, Nasal"
KBD,"Scissors, Nasal"
KBE,"Snare, Nasal"
KBF,"Trephine, Sinus"
KBG,"Trocar, Sinus"
KBH,Adenotome
KBI,"Bougie, Eustachian"
KBJ,"Curette, Adenoid"
KBK,"Curette, Salpingeal"
KBL,"Depressor, Metal Tongue, Surgical"
KBM,"Dissector, Tonsil"
KBN,"Gag, Mouth"
KBO,"Guillotine, Tonsil"
KBP,"Hook, Tonsil Suturing"
KBQ,"Knife, Tonsil"
KBR,"Needle, Tonsil Suturing"
KBS,"Punch, Adenoid"
KBT,"Punch, Tonsil"
KBW,"Screw, Oral"
KBX,"Screw, Tonsil"
KBY,"Set, Filliform, Eustachian"
KBZ,"Snare, Tonsil"
KCA,Tonsillectome
KCB,"Tube, Tonsil Suction"
KCC,"Bistoury, Tracheal"
KCD,"Bougie, Esophageal, Ent"
KCF,"Dilator, Esophageal, Ent"
KCG,"Dilator, Tracheal"
KCH,"Hook, Tracheal"
KCI,"Trocar, Tracheal"
KCJ,"Applicator, Ent"
KCL,"Blower, Powder, Ent"
KCM,"Dropper, Ent"
KCN,Ear Wick
KCO,"Nasal Spray, Ent Delivery"
KCP,"Syringe, Ent"
KHH,"Stimulator, Caloric-Air"
KHJ,"Polymer, Ent Synthetic-Polyamide (Mesh Or Foil Material)"
KHL,"Hearing Aid, Master"
KLW,"Masker, Tinnitus"
KLX,Electroglottograph
KLZ,"Tube, Shunt, Endolymphatic With Valve"
KMA,"Irrigator, Powered Nasal"
KQL,"Tube, Tympanostomy With Semi-Permeable Membrane"
KTE,"Trocar, Ent"
KTF,"Punch, Ent"
KTG,"Knife, Ent"
KTH,"Device, Anti-Stammering"
KTI,Bronchoscope Accessory
KTR,"Tube, Aspirating, Bronchoscope, Rigid"
LBL,"Tube, Tympanostomy, Porous Polyethylene"
LBM,Porous Polyethylene Ossicular Replacement
LBN,"Replacement, Total Ossicular, Prosthesis, Porous, Polyethylene"
LBP,"Replacement, Ossicular (Stapes) Using Absorbable Gelatin Material"
LDG,"Kit, Earmold, Impression"
LJW,Tracheotome
LMS,"Laser, Microsurgical Argon, For Uses Other Than Otology, Including Laryngology & General Use In Otolaryngology"
LRB,Face Plate Hearing Aid
LRC,"Instrument, Ent Manual Surgical"
LRD,"Applicator, Ent Drug"
LRE,"Instrument, Prosthesis Modification For Ossicular Replacement Surgery, Sterile"
LWF,"Dilator, Nasal"
LXB,"Hearing Aid, Bone Conduction"
LXR,"Laser, Microsurgical Argon, For Use In Otology"
LYA,"Splint, Intranasal Septal"
LYN,"Apparatus, Visual Reinforcement Audiometric"
LZI,"Device, Assistive Listening"
MAH,"Hearing Aid, Bone Conduction, Implanted"
MCK,"Device, Voice Amplification"
MIX,"System, Vocal Cord Medialization"
MMO,"Tray, Surgical, Ent"
MQW,"Transilluminator, Fiber Optic"
MXP,Bone Particle Collector
NAS,Tympanometer
NHB,"Polymer, Ear, Nose And Throat, Synthetic, Absorbable"
NIX,"Hearing Aid, Air Conduction, Transcutaneous System"
NLB,"Trocar, Tracheal, Laryngeal, Sinus, Reprocessed"
NLE,"Forceps, Biopsy, Bronchoscope (Non-Rigid), Reprocessed"
NLY,"Microdebrider, Ent, High Speed, Single Use, Reprocessed"
NLZ,"Bur, Ent, Diamond Coated, Single Use, Reprocessed"
NNJ,"Gustometer, Non-Sterile"
NNN,"Crimper, Wire, Ent, Non-Sterile"
NNO,"Jig, Piston Cutting, Ent, Non-Sterile"
NNP,"Die, Wire Bending, Ent, Non-Sterile"
NNQ,"Forceps, Wire Closure, Ent, Non-Sterile"
NNR,"Block, Cutting, Ent, Non-Sterile"
NNS,"Instrument, Prosthesis Modification For Ossicular Replacement Surgery, Non-Sterile"
NNT,"Punch, Gelfoam, Non-Sterile"
NNU,"Scissors, Wire Cutting, Ent, Non-Sterile"
NNV,"Vise, Ossicular Finger, Non-Sterile"
NRK,"Kit, Test, Olfactory"
OGR,"Ear, Nose, And Throat Surgical Tray"
OGS,Myringotomy Procedure Kit
OGU,Pierced Ear/Entry Cleaning Tray
OSM,"Hearing Aid, Air-Conduction With Wireless Technology, Prescription"
PFO,Active Implantable Bone Conduction Hearing System
PKA,External Upper Esophageal Sphincter (Ues) Compression Device
PLK,Tympanic Membrane Direct Contact Hearing Aid
PNZ,Eustachian Tube Balloon Dilation Device
PTO,"Tester, Auditory Impedance, Exempt"
PTP,"Tympanometer, Exempt"
QDD,"Self-Fitting Air-Conduction Hearing Aid, Prescription"
QGK,"Balloon, Nasal Airway"
QJL,"Splint, Intranasal Septal, Cber Led"
QNU,Transcutaneous Electrical Nerve Stimulator For The Relief Of Congestion
QNW,Reprocessed Bronchoscope
QQG,Oropharyngeal Electrical Stimulator
QQH,Powered Insertion System For A Cochlear Implant Electrode Array
QUF,"Hearing Aid, Air-Conduction, Over The Counter"
QUG,"Hearing Aid, Air-Conduction With Wireless Technology, Over The Counter"
QUH,"Self-Fitting Air-Conduction Hearing Aid, Over The Counter"
QVN,Combined Acoustic And Electrical External Stimulation Device For The Relief Of Tinnitus
QXG,Cooperative Powered Surgical Assist Device For Ent Surgery
QZC,External Mechanical Stimulator For The Relief Of Congestion
SBS,Laryngeal Injection Set With Led Light
SCR,Air-Conduction Hearing Aid Software
NUP,"Cream, Nasal, Topical, Mechanical Allergen Particle Barrier"
OGQ,Ear Irrigation Kit
PGW,"Ear, Nose, And Throat Stereotaxic Instrument"
QLV,Field Generator Positioning Device
LWI,"Ultrasound, Sinus"
PSV,Ultrasound Bronchoscope
QJG,"Device System, Imaging, Tympanic Membrane And Middle Ear"
QQE,Image Management Software For Planning Of Otologic And Neurotologic Procedures
OLL,Septal Stapler/Absorbable Staples
EPG,"Stimulator, Transdermal"
ESI,"Polymer, Natural-Absorbable Gelatin Material"
EWD,"Protector, Hearing (Insert)"
EWE,"Protector, Hearing (Circumaural)"
LEZ,"Aids, Speech Training For The Hearing Impaired (Ac-Powered And Patient-Contact)"
LFA,"Aids, Speech Training For The Hearing Impaired (Battery-Operated Or Non-Patient)"
LFB,"Button, Nasal Septal"
LRA,"Hearing Aid, Tactile"
LXV,"Apparatus, Vestibular Analysis"
MCM,"Implant, Cochlear"
MHE,"Implant, Auditory Brainstem"
MJV,"Device, Inflation, Middle Ear"
MPV,"Implant, Hearing, Active, Middle Ear, Partially Implanted"
MRK,"System, Imaging, Fluorescence"
OAA,"Aid, Visual, For Nausea"
OAF,"Implant, Hearing, Active, Middle Ear, Totally Implanted"
OAQ,"Electronic Media, Hyperacusis"
OWO,Drug-Eluting Sinus Stent
PGQ,Cochlear Implant With Combined Electrical Stimulation And Acoustic Amplification
QJA,Tympanostomy Tube Delivery Product With Drug
QOO,Ventilator Tubing And Accessories
QOP,Respiratory Humidifier For Emergency Use
QOS,Continuous Ventilator
QOV,Critical Care Ventilator
QOX,Multi-Patient Circuit Connector
MNW,"Analyzer, Body Composition"
OBH,"Monitor, Extracellular Fluid, Lymphedema, Extremity"
OMV,Ultrasonic Body Composition Analyzer
PUH,"Analyzer, Body Composition, Exempt"
QJB,"Adjunct Monitor, Protein Calorie Malnutrition"
BSS,"Tube, Nasogastric"
EXA,"Selector, Size, Ostomy"
EXB,"Collector, Ostomy"
EXD,"Irrigator, Ostomy"
EXE,"Protector, Ostomy"
EXF,"Bag, Bile Collecting"
EXG,"Bag, Urine Collecting, Ureterostomy"
EXH,"Bag, Urinary, Ileostomy"
EXI,"Device, Paste-On For Incontinence, Sterile"
EXJ,"Device, Incontinence, Urosheath Type, Sterile"
EXN,"Support, Hernia"
EXQ,"Cystometer, Electrical Recording"
EXR,"Urinometer, Mechanical"
EXS,"Urinometer, Electrical"
EXW,"Pill, Radio"
EXX,"Probe, Rectal, Non-Powered"
EXY,Uroflowmeter
EXZ,"Equipment, Photographic, For Physiologic Function Monitor"
EYA,"Stylet, Ureteral"
EYB,"Catheter, Ureteral, Gastro-Urology"
EYC,"Catheter, Upper Urinary Tract"
EYD,Stirrups
EYH,"Table, Cysto, Non-Electrical"
EYI,"Adaptor, Ureteral Catheter"
EYJ,"Holder, Ureteral Catheter"
EYK,"Connector, Ureteral Catheter"
EYQ,"Garment, Protective, For Incontinence"
EYS,Ribdam
EYT,"Sheath, Corrugated Rubber, For Nonindwelling Catheter, Sterile"
EYZ,"System, Urine Drainage, Closed, For Nonindwelling Catheter, Sterile"
EZB,"Stylet For Catheter, Gastro-Urology"
EZC,"Catheter, Coude"
EZD,"Catheter, Straight"
EZK,"Catheter, Retention Type"
EZL,"Catheter, Retention Type, Balloon"
EZM,"Dilator, Esophageal (Metal Olive) Gastro-Urology"
EZN,"Dilator, Catheter, Ureteral"
EZO,Urethrotome
EZP,"Rod, Colostomy"
EZQ,"Pouch, Colostomy"
EZR,"Cement, Stomal Appliance, Ostomy"
EZS,"Appliance, Colostomy, Disposable"
EZT,"Pacemaker, Bladder"
EZW,"Stimulator, Electrical, Implantable, For Incontinence"
EZY,"Device, Incontinence, Mechanical/Hydraulic"
FAD,"Stent, Ureteral"
FAE,"Prosthesis, Penile"
FAF,"Prosthesis, Testicular"
FAH,"Dilator, Urethral, Mechanical"
FAJ,"Cystoscope And Accessories, Flexible/Rigid"
FAK,Panendoscope (Gastroduodenoscope)
FAL,Panendoscope (Urethroscope)
FAM,"Sigmoidoscope And Accessories, Flexible/Rigid"
FAN,"Sigmoidoscope, Rigid, Electrical"
FAP,Cystometric Gas (Carbon-Dioxide) On Hydraulic Device
FAQ,"Bag, Urine Collection, Leg, For External Use, Sterile"
FAR,"Unit, Electrosurgical"
FAS,"Electrode, Electrosurgical, Active, Urological"
FAT,"Bougie, Esophageal, And Gastrointestinal, Gastro-Urology"
FAX,"Bougie, Urological"
FBI,"Rongeur, Cystoscopic"
FBJ,"Cord, Electric For Transurethral Surgical Instrument"
FBK,"Endoscopic Injection Needle, Gastroenterology-Urology"
FBM,"Cannula And Trocar, Suprapubic, Non-Disposable"
FBN,"Choledochoscope And Accessories, Flexible/Rigid"
FBO,Cystourethroscope
FBP,"Telescope, Rigid, Endoscopic"
FBR,Urethrometer
FBS,"Sound, Metal, Interconnected"
FBW,Filiform And Filiform Follower
FBX,"Sound, Urethral, Metal Or Plastic"
FCB,"Bag, Hemostatic"
FCC,Endoscopic Magnetic Retriever
FCE,Enema Kit
FCF,"Instrument, Biopsy, Mechanical, Gastrointestinal"
FCG,Biopsy Needle
FCH,"Tray, Biopsy, Without Biopsy Instruments"
FCI,"Punch, Biopsy"
FCK,"Instrument, Biopsy, Suction"
FCL,"Forceps, Biopsy, Non-Electric"
FCM,"Tray, Catheterization, Sterile Urethral, With Or Without Catheter (Kit)"
FCN,"Urinary Drainage Collection Kit, For Indwelling Catheter"
FCO,"Box, Battery, Rechargeable"
FCP,"Box, Battery, Pocket"
FCQ,"Light Source, Incandescent, Diagnostic"
FCR,"Light Source, Photographic, Fiberoptic"
FCS,"Light, Catheter, Fiberoptic, Glass, Ureteral"
FCW,"Light Source, Fiberoptic, Routine"
FCX,"Insufflator, Automatic Carbon-Dioxide For Endoscope"
FCY,"Bulb, Inflation, For Endoscope"
FCZ,"Tube, Smoke Removal, Endoscopic"
FDA,Enteroscope And Accessories
FDB,"Plate, Patient"
FDC,"Resectoscope, Working Element"
FDE,Laparoscopy Kit
FDF,"Colonoscope And Accessories, Flexible/Rigid"
FDG,"Retractor, Fiberoptic"
FDI,"Snare, Flexible"
FDJ,"Snare, Rigid Self-Opening"
FDL,"Wristlet, Patient Return"
FDR,Sphyncteroscope
FDS,"Gastroscope And Accessories, Flexible/Rigid"
FDT,"Duodenoscope And Accessories, Flexible/Rigid"
FDW,"Esophagoscope, Rigid, Gastro-Urology"
FDX,Endoscopic Cytology Brush
FDY,"Device, Measuring, For Panendoscope"
FDZ,"Attachment, Eyepiece, For Insertion Of Prescription Lens"
FEA,"Attachment, Teaching, For Endoscope"
FEC,"Obturator, For Endoscope"
FED,"Endoscopic Access Overtube, Gastroenterology-Urology"
FEF,"Tube, Single Lumen, With Mercury Wt Balloon For Intestinal Intubation And / Or Decompression"
FEG,"Tube, Double Lumen For Intestinal Decompression And/Or Intubation"
FEH,"Electrode, Flexible Suction Coagulator"
FEI,"Instrument, Special Lens, For Endoscope"
FEJ,"Attachment, Binocular, For Endoscope"
FEM,"Accessories, Photographic, For Endoscope (Exclude Light Sources)"
FEN,"Device, Cystometric, Hydraulic"
FEO,"Lithotriptor, Ultrasonic"
FEQ,"Pump, Air, Non-Manual, For Endoscope"
FER,Anoscope And Accessories
FES,"Recorder, External, Pressure, Amplifier & Transducer"
FET,"Endoscopic Video Imaging System/Component, Gastroenterology-Urology"
FEW,"Catheter, Malecot"
FEX,"Instrument, Catheter, Punch"
FEZ,"Catheter And Tube, Suprapubic"
FFA,"Tube, Drainage, Suprapubic"
FFD,"Evacuator, Bladder, Manually Operated"
FFE,"System, Water Jet Catheter, Renal"
FFF,"Cover, Biopsy Forceps"
FFG,"Device, Urine Flow Rate Measuring, Non-Electrical, Disposable"
FFH,"Collector, Urine, Pediatric, For Indwelling Catheter"
FFI,"System, Alarm, Electrosurgical"
FFK,"Lithotriptor, Electro-Hydraulic"
FFL,"Dislodger, Stone, Basket, Ureteral, Metal"
FFN,"Clamp, Non-Electrical"
FFO,"Retractor, Self-Retaining"
FFP,"Dilator, Rectal"
FFQ,"Speculum, Rectal"
FFR,"Device, Locking, For Intestinal Clamp"
FFS,"Image, Illumination, Fiberoptic, For Endoscope "
FFT,"Electrode, Ph, Stomach"
FFW,"String And Tubes, Gastrointestinal, To Locate Internal Bleeding"
FFX,"System, Gastrointestinal Motility (Electrical)"
FFY,"Adaptor, Bulbs, Miscellaneous, For Endoscope"
FFZ,"Cord, Electric, For Endoscope"
FGA,"Kit, Nephroscope"
FGB,"Ureteroscope And Accessories, Flexible/Rigid"
FGC,Urethroscope
FGD,"Catheter, Retention, Barium Enema With Bag"
FGE,"Stents, Drains And Dilators For The Biliary Ducts"
FGF,"Catheter, Ureteral Disposable (X-Ray)"
FGH,"Catheter, Double Lumen Female Urethrographic"
FGI,"Catheter, Urethrographic, Male"
FGK,"Tripsor, Stone, Bladder"
FGM,"Probe And Director, Gastro-Urology"
FGN,"Retractor, Non-Self-Retaining"
FGO,"Dislodger, Stone, Flexible"
FGS,"Carrier, Sponge, Endoscopic"
FGW,"Clamp, Electrical"
FGX,"Snare, Non-Electrical"
FHA,"Clamp, Penile"
FHB,"Hook, Gastro-Urology"
FHC,"Adaptor To The Cord, For Transurethral Surgical Instrument"
FHF,"System, Evacuator, Fluid"
FHH,"Crusher, Spur, Colostomy"
FHI,"Ring, Laparotomy"
FHK,"Spreader, Bladder Neck"
FHL,Scoop
FHN,"Ligator, Hemorrhoidal"
FHO,Pneumoperitoneum Needle
FHP,"Needle, Pneumoperitoneum, Simple"
FHQ,"Holder, Needle, Gastroenterologic"
FHS,"Dialyzer, Single Coil"
FHT,"Set, Gavage, Infant, Sterile"
FHW,"Device, Impotence, Mechanical/Hydraulic"
FHX,"Jelly, Lubricating, For Transurethral Surgical Instrument"
FHY,"Jelly, Contact, For Transurethral Surgical Instrument"
FHZ,"Desiccator, Transurethral"
FIA,"Chair, Dialysis, Unpowered, Without Scales"
FIB,"Protector, Transducer, Dialysis"
FID,"Tubing, Dialysate"
FIE,"Needle, Fistula"
FIF,"Set, Dialysis, Single Needle With Uni-Directional Pump"
FIG,"Clamp, Tubing, Blood, Automatic"
FIH,"Pump, Infusion Or Syringe, Extra-Luminal"
FII,"System, Dialysate Delivery, Sealed"
FIJ,"System, Dialysate Delivery, Recirculating, Single Pass"
FIK,"System, Dialysate Delivery, Recirculating"
FIL,"System, Dialysate Delivery, Single Pass"
FIN,"Tank, Holding, Dialysis"
FIP,"Subsystem, Water Purification"
FIQ,"Cannula, A-V Shunt"
FIR,"Pump, Blood, Extra-Luminal"
FIS,"Flowmeter, Dialysate"
FIW,"Alarm, Pillow Pressure"
FIZ,"Meter, Conductivity, Non-Remote"
FJA,"Manometer, Water"
FJB,"Detector, Dialysate Level"
FJC,"Detector, Blood Level"
FJD,"Detector, Leak, Blood"
FJF,"Detector, Air Bubble"
FJG,"Dialyzer, Parallel Flow"
FJH,"Dialyzer, Disposable"
FJI,"Dialyzer, Capillary, Hollow Fiber"
FJJ,"Dialyzer, Twin Coil"
FJK,"Set, Tubing, Blood, With And Without Anti-Regurgitation Valve"
FJL,Resectoscope
FJM,"Guard, Shunt"
FJN,"Stabilizer, Shunt"
FJO,"Plier, Tube"
FJP,"Adaptor, Y"
FJQ,"Connector, Shunt"
FJR,"Forceps, Disconnect"
FJS,"Catheter, Peritoneal, Long-Term Indwelling"
FJT,"Intracatheter, Dialysis"
FJW,"Ring, Joint"
FJX,"Ring, Crimp"
FJY,"Plier, Crimp"
FJZ,"Declotting Tray, Kit (Including Contents)"
FKA,"Dilator, Vessel"
FKB,"Connector, Blood Tubing, Infusion T"
FKC,"Clamp, Cannula"
FKD,"Canister, Coil"
FKE,"Tie, Dialysis"
FKF,"Gun, Tie, Dialysis"
FKG,"Tray, Start/Stop (Including Contents), Dialysis"
FKH,"Solution-Test Standard-Conductivity, Dialysis"
FKI,"Set, Dialyzer Holder"
FKJ,"Filter, Blood, Dialysis"
FKK,"Clamp, Line"
FKL,"Insert, Pump, Blood"
FKM,"Adaptor, Fistula"
FKN,"Adaptor, Shunt"
FKO,"Catheter, Peritoneal Dialysis, Single Use"
FKP,"System, Dialysate Delivery, Single Patient"
FKQ,"System, Dialysate Delivery, Central Multiple Patient"
FKR,"Subsystem, Proportioning"
FKT,"System, Dialysate Delivery, Sorbent Regenerated"
FKW,"Tip, Vessel"
FKX,"System, Peritoneal, Automatic Delivery"
FKY,"Connector, Tubing, Dialysate"
FLA,"Monitor, Temperature, Dialysis"
FLB,"Meter, Conductivity, Induction, Remote Type"
FLC,"Station, Dialysis Control, Negative Pressure Type"
FLD,"Apparatus, Hemoperfusion, Sorbent"
FOC,"Bag, Urine Collection, Newborn"
FON,"Bag, Drainage, With Adhesive, Ostomy"
FPD,"Tube, Feeding"
FRQ,"Tube, Levine"
FTI,"Lamp, Endoscope, Incandescent"
FTJ,"Colonoscope, General & Plastic Surgery"
FTO,"Prosthesis, Testicle"
FTQ,"Prosthesis, Penis, Rigid Rod"
GBL,"Catheter, Ureteral, General & Plastic Surgery"
GBM,"Catheter, Urethral"
GBT,"Catheter, Rectal"
GCA,Biliary Catheter For Stone Removal That May Also Allow For Irrigation And Contrast Injection
GCF,Proctoscope
GCK,"Gastroscope, General & Plastic Surgery"
GCL,"Esophagoscope, General & Plastic Surgery"
GCM,"Endoscope, Rigid"
GCN,"Endoscope, Prism"
GCO,"Endoscope, Mirror"
GCP,"Endoscope, Ac-Powered And Accessories"
GCQ,"Endoscope, Flexible"
GCS,"Endoscope, Battery-Powered And Accessories"
GCT,"Light Source, Endoscope, Xenon Arc"
GCW,"Transformer, Endoscope"
GDB,"Endoscope, Fiber Optic"
GDS,"Bag, Stomal"
JCW,"Prosthesis, Penis, Inflatable"
KDH,"Catheter (Gastric, Colonic, Etc.), Irrigation And Aspiration"
KDI,"Dialyzer, High Permeability With Or Without Sealed Dialysate System"
KDJ,"Set, Administration, For Peritoneal Dialysis, Disposable"
KDK,"Container, Transport, Kidney"
KDL,"Set, Perfusion, Kidney, Disposable"
KDM,"Sigmoidoscope, Rigid, Non-Electrical"
KDN,"System, Perfusion, Kidney"
KDO,"Rongeur, Cystoscopic, Hot"
KGC,"Tube, Gastro-Enterostomy"
KGD,Scissors For Cystoscope
KGE,"Forceps, Biopsy, Electric"
KLA,"Monitor, Esophageal Motility, Anorectal Motility, And Tube"
KNQ,"Dilator, Esophageal"
KNR,"Adapter, A-V Shunt Or Fistula"
KNS,"Unit, Electrosurgical, Endoscopic (With Or Without Accessories)"
KNT,"Tubes, Gastrointestinal (And Accessories)"
KNX,"Collector, Urine, (And Accessories) For Indwelling Catheter"
KNY,"Accessories, Catheter, G-U"
KNZ,"Accessories, A-V Shunt"
KOA,"Surgical Instruments, G-U, Manual (And Accessories)"
KOB,"Catheter, Suprapubic (And Accessories)"
KOC,"Accessories, Blood Circuit, Hemodialysis"
KOD,"Catheter, Urological"
KOE,"Dilator, Urethral"
KPF,"System, Dialysate Delivery, Semi-Automatic, Peritoneal"
KPH,"Catheter, Rectal For Continent Ileostomy"
KPI,"Stimulator, Electrical, Non-Implantable, For Incontinence"
KPL,Colonic Irrigation System
KPM,"Shunt, Peritoneal"
KPN,"Alarm, Conditioned Response Enuresis"
KPO,Dialysate Concentrate For Hemodialysis (Liquid Or Powder)
KPP,Peritoneal Dialysate Filter
KQQ,"Tubing, Dialysate (And Connector)"
KQR,"Detector, Air Or Foam"
KQS,"Table, Cystometric, Non-Electric And Accessories"
KQT,"Evacuator, Gastro-Urology"
KXM,"System Accessories, Extracorporeal"
LBW,"Set, Dialysis, Single Needle (Co-Axial Flow)"
LCG,Intestinal Splinting Tubes
LFJ,"Catheter, Subclavian"
LFK,"Catheter, Femoral"
LIF,Dialyzer Reprocessing System
LJH,"System, Irrigation, Urological"
LKY,"Device, External Penile Rigidity"
LLB,"System, Blood, Extracorporeal And Accessories"
LNS,"Lithotriptor, Extracorporeal Shock-Wave, Urological"
LQC,"Lithotriptor, Biliary Mechanical"
LQR,"Dislodger, Stone, Biliary"
LRI,Ph Meter For Dialysis Hydrogen Ion Concentration
MJC,"Catheter, Urological (Antimicrobial) And Accessories"
MLW,"Warmer, Peritoneal Dialysate"
MMZ,"Table, Cystometric, Electric"
MND,"Ligator, Esophageal"
MNG,"External Urethral Occluder, Urinary Incontinence-Control, Female"
MNK,Endoscopic Bite Block
MNL,"Accessories, Cleaning Brushes, For Endoscope"
MNV,"Strip, Dialysate Ph Indicator"
MON,"System, Hemodialysis, Remote Accessories"
MPB,"Catheter, Hemodialysis, Non-Implanted"
MQS,"System, Hemodialysis, Access Recirculation Monitoring"
MSB,"System And Accessories, Isolated Heart, Transport And Preservation"
MSD,"Catheter, Hemodialysis, Implanted"
MSE,"Hemodialyzer, Re-Use, Low Flux"
MSF,"Hemodialyzer, Re-Use, High Flux"
MSY,"Strip, Test, Reagent, Residuals For Dialysate, Disinfectant"
MSZ,"Strip, Test, Reagent, Residuals For Dialysate"
MYE,"System, Electrogastrography (Egg)"
NAM,"Stimulator, Peripheral Nerve, Non-Implanted, For Urinary Incontinence"
NBG,"Marker, Colon"
NDS,"Media, Culture, Ex Vivo, Tissue And Cell"
